,playerID,yearID,R,RBI,SB,SO,IBB,SH,SF,GIDP,BA,OPS,LogSalary,nameFirst,nameLast,nameGiven,bats,teamName
87,cruzde01,2003,61,65,1,49,1,7,2,13,0.25,0.646763775,14.08124299,Deivi,Cruz,Deivi,R,Baltimore Orioles
88,cruzen01,2003,6,2,0,30,0,0,0,2,0.084507042,0.243328391,12.8772707,Enrique,Cruz,Enrique Michael,R,Milwaukee Brewers
89,cruzjo02,2003,90,68,5,121,6,2,7,14,0.250463822,0.779469869,14.99753372,Jose,Cruz,Jose Luis,B,San Francisco Giants
90,damonjo01,2003,103,67,30,74,4,6,6,5,0.273026316,0.749634503,16.09614591,Johnny,Damon,Johnny David,L,Boston Red Sox
91,daubabr01,2003,26,21,1,54,1,0,1,3,0.229508197,0.739576316,13.2827358,Brian,Daubach,Brian Michael,L,Chicago White Sox
92,davisbe01,2003,25,42,0,61,2,1,4,5,0.235772358,0.665695911,14.08124299,Ben,Davis,Mark Christopher,B,Seattle Mariners
93,delgaca01,2003,117,145,0,137,23,0,7,9,0.301754386,1.018514371,17.00976642,Carlos,Delgado,Carlos Juan,L,Toronto Blue Jays
94,delgawi01,2003,8,3,0,10,0,0,1,4,0.168831169,0.415109281,12.89380017,Wilson,Delgado,Wilson,B,St. Louis Cardinals
95,delluda01,2003,18,19,9,45,1,1,2,4,0.242424242,0.70986051,13.97588213,David,Dellucci,David Michael,L,Arizona Diamondbacks
96,derosma01,2003,40,22,1,49,0,0,1,6,0.263157895,0.699430869,13.00243279,Mark,DeRosa,Mark Thomas,R,Atlanta Braves
97,diazei01,2003,30,35,3,32,0,4,4,12,0.25748503,0.635435012,14.68964883,Einar,Diaz,Einar Antonio,R,Texas Rangers
98,difelmi01,2003,29,25,1,30,0,1,2,6,0.253968254,0.695845005,13.61123905,Mike,Difelice,Michael William,R,Kansas City Royals
99,drewjd01,2003,60,42,2,48,0,2,0,6,0.289198606,0.886428251,15.38957577,J. D.,Drew,David Jonathan,L,St. Louis Cardinals
100,durazer01,2003,92,77,1,105,12,0,6,11,0.258845438,0.803811009,14.14421772,Erubiel,Durazo,Erubiel,L,Oakland Athletics
101,durhara01,2003,61,33,7,82,2,4,2,4,0.285365854,0.807054812,15.72990159,Ray,Durham,Ray,B,San Francisco Giants
102,dyeje01,2003,28,20,1,42,2,0,4,11,0.171945701,0.51426323,16.53797872,Jermaine,Dye,Jermaine Terrell,R,Oakland Athletics
103,eckstda01,2003,59,31,16,45,0,10,4,9,0.252212389,0.650665026,13.22557679,David,Eckstein,David Mark,R,Anaheim Angels
104,edmonji01,2003,89,89,1,127,6,1,2,11,0.275167785,1.002355325,16.2015064,Jim,Edmonds,James Patrick,L,St. Louis Cardinals
105,ellisma01,2003,78,52,6,94,4,9,5,7,0.247739602,0.683918947,12.90196356,Mark,Ellis,Mark William,R,Oakland Athletics
106,encarju01,2003,80,94,19,82,0,5,6,17,0.269550749,0.759195066,15.31961707,Juan,Encarnacion,Juan de Dios,R,Florida Marlins
107,ensbemo01,2003,69,60,7,60,1,1,1,10,0.290909091,0.907142857,12.8772707,Morgan,Ensberg,Morgan Paul,R,Houston Astros
108,erstada01,2003,35,17,9,40,1,2,2,8,0.251937984,0.641843972,16.06224441,Darin,Erstad,Darin Charles,L,Anaheim Angels
109,estalbo02,2003,17,21,2,55,0,2,3,4,0.2,0.694478528,13.38809581,Bobby,Estalella,Robert M.,R,Colorado Rockies
110,evereca01,2003,53,51,4,48,2,4,3,2,0.274074074,0.900431499,16.29499679,Carl,Everett,Carl Edward,B,Texas Rangers
111,febleca01,2003,31,11,8,30,0,5,0,8,0.234693878,0.559269502,13.82635059,Carlos,Febles,Carlos Manuel,R,Kansas City Royals
112,felizpe01,2003,31,48,2,53,0,1,2,7,0.246808511,0.793119423,12.95731183,Pedro,Feliz,Pedro Julio,R,San Francisco Giants
113,fickro01,2003,52,80,1,47,4,0,7,9,0.268948655,0.752875518,14.08124299,Robert,Fick,Robert Charles John,L,Atlanta Braves
114,finlest01,2003,82,70,15,94,4,0,3,6,0.286821705,0.862542955,15.52816188,Steve,Finley,Steven Allen,L,Arizona Diamondbacks
115,flahejo01,2003,16,14,0,19,1,5,1,6,0.266666667,0.754440154,13.79356041,John,Flaherty,John Timothy,R,New York Yankees
116,floydcl01,2003,57,68,3,66,2,0,6,10,0.290410959,0.894278807,15.95304505,Cliff,Floyd,Cornelius Clifford,L,New York Mets
117,fordybr01,2003,28,31,2,44,1,6,2,10,0.272988506,0.681500466,15.33400596,Brook,Fordyce,Brook Alexander,R,Baltimore Orioles
118,foxan01,2003,12,8,1,29,0,1,0,2,0.194444444,0.528166822,13.85809963,Andy,Fox,Andrew Junipero,L,Florida Marlins
119,francju01,2003,28,31,0,43,5,0,1,8,0.294416244,0.823973959,13.57041788,Julio,Franco,Julio Cesar,R,Atlanta Braves
120,francma01,2003,11,15,0,26,0,1,2,4,0.246268657,0.650065997,13.85809963,Matt,Franco,Matthew Neil,L,Atlanta Braves
121,fullmbr01,2003,32,35,5,31,4,0,1,4,0.305825243,0.887234043,14.08124299,Brad,Fullmer,Bradley Ryan,L,Anaheim Angels
122,furcara01,2003,130,61,25,76,2,3,4,1,0.292168675,0.794344272,14.86970028,Rafael,Furcal,Rafael,B,Atlanta Braves
123,galaran01,2003,36,42,1,61,1,0,0,9,0.301470588,0.840506424,13.38809581,Andres,Galarraga,Andres Jose,R,San Francisco Giants
124,gantro01,2003,4,4,0,9,0,0,1,1,0.146341463,0.401330377,13.03142065,Ron,Gant,Ronald Edwin,R,Oakland Athletics
125,garcika01,2003,8,14,0,20,1,0,2,4,0.193548387,0.60321516,13.97588213,Karim,Garcia,Gustavo Karim,L,Cleveland Indians
126,garcino01,2003,120,105,19,61,1,1,10,10,0.300911854,0.869720009,16.47913819,Nomar,Garciaparra,Anthony Nomar,R,Boston Red Sox
127,giambja01,2003,97,107,2,140,9,0,5,9,0.25046729,0.938697007,16.51735937,Jason,Giambi,Jason Gilbert,L,New York Yankees
128,giambje01,2003,15,15,1,42,0,1,0,3,0.196850394,0.696266193,14.77439017,Jeremy,Giambi,Jeremy Dean,L,Boston Red Sox
129,gibboja01,2003,80,100,0,89,11,0,5,12,0.2768,0.785912023,13.10041425,Jay,Gibbons,Jay Jonathan,L,Baltimore Orioles
130,gilbe01,2003,12,9,5,33,1,4,2,5,0.192,0.485740458,13.75965952,Benji,Gil,Romar Benjamin,R,Anaheim Angels
131,gilesbr02,2003,70,70,0,48,11,0,2,8,0.298969072,0.950971987,16.25977532,Brian,Giles,Brian Stephen,L,Pittsburgh Pirates
132,gilesma01,2003,101,69,14,80,2,10,4,7,0.315789474,0.916715789,12.93081054,Marcus,Giles,Marcus William,R,Atlanta Braves
133,gilge01,2003,22,16,0,34,0,2,0,2,0.236686391,0.612522511,12.97257948,Geronimo,Gil,Geronimo,R,Baltimore Orioles
134,ginteke01,2003,51,44,1,87,1,0,3,8,0.25698324,0.779181531,12.8805975,Keith,Ginter,Keith Michael,R,Milwaukee Brewers
135,girarjo01,2003,1,1,0,4,0,0,0,2,0.130434783,0.361204013,13.75965952,Joe,Girardi,Joseph Elliott,R,St. Louis Cardinals
136,glanvdo01,2003,22,14,4,25,1,2,0,2,0.271794872,0.652506697,14.08124299,Doug,Glanville,Douglas Metunwa,R,Texas Rangers
137,glaustr01,2003,53,50,7,73,4,0,1,8,0.247648903,0.807274094,16.06224441,Troy,Glaus,Troy Edward,R,Anaheim Angels
138,gomezch02,2003,14,15,2,13,1,2,1,10,0.251428571,0.632974239,13.38809581,Chris,Gomez,Christopher Cory,R,Minnesota Twins
139,gonzaal01,2003,71,59,3,123,1,8,4,17,0.22761194,0.703691702,15.83044278,Alex,Gonzalez,Alexander Scott,R,Chicago Cubs
140,gonzaal02,2003,52,77,0,106,13,3,5,8,0.255681818,0.755789763,14.61187115,Alex,Gonzalez,Alexander,R,Florida Marlins
141,gonzaju03,2003,49,70,1,73,1,0,1,10,0.293577982,0.901345212,16.64619223,Juan,Gonzalez,Juan Alberto,R,Texas Rangers
142,gonzalu01,2003,92,104,5,67,17,0,3,19,0.303972366,0.934013496,15.46753716,Luis,Gonzalez,Luis Emilio,L,Arizona Diamondbacks
143,goodwto01,2003,26,12,19,33,0,1,1,3,0.286549708,0.690441952,13.62711258,Tom,Goodwin,Thomas Jones,L,Chicago Cubs
144,gracema01,2003,13,16,0,15,2,1,3,6,0.2,0.582924483,14.64085856,Mark,Grace,Mark Eugene,L,Arizona Diamondbacks
145,graffto01,2003,51,23,8,37,1,3,1,1,0.26,0.758935252,13.68819978,Tony,Graffanino,Anthony Joseph,R,Chicago White Sox
146,greensh01,2003,84,85,6,112,2,0,6,18,0.279869067,0.814460411,16.83277822,Shawn,Green,Shawn David,L,Los Angeles Dodgers
147,greento02,2003,25,20,0,47,0,0,1,2,0.229268293,0.677003484,13.79356041,Todd,Greene,Todd Anthony,R,Texas Rangers
148,grievbe01,2003,28,17,0,41,1,0,2,3,0.23030303,0.716186253,15.78599094,Ben,Grieve,Benjamin,L,Tampa Bay Devil Rays
149,griffke02,2003,34,26,1,44,5,1,1,3,0.246987952,0.93626506,16.60697151,Ken,Griffey,George Kenneth,L,Cincinnati Reds
150,grissma02,2003,82,79,11,82,0,3,6,14,0.299829642,0.790435036,14.70985175,Marquis,Grissom,Marquis Deon,R,San Francisco Giants
151,grudzma01,2003,73,38,6,64,0,7,2,12,0.313929314,0.78221263,15.78599094,Mark,Grudzielanek,Mark James,R,Chicago Cubs
152,guerrvl01,2003,71,79,9,53,22,0,4,18,0.329949239,1.012418613,16.52358996,Vladimir,Guerrero,Vladimir,R,Montreal Expos
153,guillca01,2003,63,52,4,64,2,5,5,12,0.275773196,0.753074292,14.99753372,Carlos,Guillen,Carlos Alfonso,B,Seattle Mariners
154,gutieri01,2003,2,3,0,5,0,1,1,1,0.26,0.629090909,15.44648391,Ricky,Gutierrez,Ricardo,R,Cleveland Indians
155,guzmacr01,2003,78,53,18,79,0,12,4,4,0.267790262,0.675814264,15.00748386,Cristian,Guzman,Cristian,B,Minnesota Twins
156,hafnetr01,2003,35,40,2,81,2,0,1,7,0.254295533,0.811696576,12.88457562,Travis,Hafner,Travis Lee,L,Cleveland Indians
157,hairsje02,2003,25,21,14,25,0,10,2,8,0.270642202,0.724973288,14.51949777,Jerry,Hairston,Jerry Wayne,R,Baltimore Orioles
158,hallto02,2003,50,47,0,40,4,0,5,14,0.252699784,0.675310313,12.8772707,Toby,Hall,Toby Jason,R,Tampa Bay Devil Rays
159,haltesh01,2003,33,30,2,77,0,3,3,11,0.216666667,0.610897436,14.84671087,Shane,Halter,Shane David,R,Detroit Tigers
160,hammoje01,2003,2,3,0,7,0,0,0,2,0.157894737,0.508985879,16.18537703,Jeffrey,Hammonds,Jeffrey Bryan,R,Milwaukee Brewers
161,hanseda01,2003,13,15,1,25,3,0,0,4,0.244444444,0.691823899,13.48340557,Dave,Hansen,David Andrew,L,San Diego Padres
162,harrile01,2003,11,7,1,20,3,1,1,1,0.183206107,0.484180047,13.85809963,Lenny,Harris,Leonard Anthony,L,Chicago Cubs
